school,nickname,conference,year,Football,Men's Basketball,Women's Basketball,Men's Fencing,Women's Fencing,Men's Golf,Women's Golf,Men's Gymnastics,Women's Gymnastics,Men's Ice Hockey,Women's Ice Hockey,Men's Lacrosse,Women's Lacrosse,Men's Skiing,Women's Skiing,Men's Soccer,Women's Soccer,Men's Swimming and Diving,Women's Swimming and Diving,Men's Tennis,Women's Tennis,"Men's Track and Field, X-Country","Women's Track and Field, X-Country",Men's Volleyball,Women's Volleyball,Men's Water Polo,Women's Water Polo,Men's Wrestling,Women's Wrestling,Baseball,Women's Beach Volleyball,Women's Bowling,Women's Equestrian,Women's Field Hockey,Rifle,Women's Rowing,Softball,Women's Triathlon
University of Wisconsin-Madison,Wisconsin,Big Ten,2014,"47,284,722","19,370,860","1,577,455",,,"160,291","179,444",,,"4,497,281","749,229",,,,,"769,768","812,464","233,502","238,718","110,977","192,473","778,349","973,309",,"731,820",,,"194,167",,,,,,,,"349,116","757,059",
University of Wisconsin-Madison,Wisconsin,Big Ten,2017,"73,548,410","23,168,473","1,725,172",,,"109,399","191,596",,,"5,798,444","1,068,174",,,,,"794,031","863,797","354,132","404,187","111,780","195,130","1,027,439","1,217,797",,"2,584,626",,,"303,677",,,,,,,,"889,104","791,273",
University of Wisconsin-Madison,Wisconsin,Big Ten,2018,"82,438,850","22,438,795","2,010,050",,,"75,070","224,464",,,"6,271,407","792,022",,,,,"1,020,325","936,159","384,576","314,143","317,786","277,691","693,448","858,559",,"1,860,027",,,"288,347",,,,,,,,"634,627","515,132",
University of Wisconsin-Madison,Wisconsin,Big Ten,2019,"90,769,486","21,701,869","2,070,214",,,"76,672","191,074",,,"6,169,929","864,494",,,,,"1,019,966","980,332","364,578","284,717","256,434","195,422","785,739","948,306",,"2,144,716",,,"355,953",,,,,,,,"642,284","828,547",
University of Wisconsin-Madison,Wisconsin,Big Ten,2020,"87,408,161","19,453,045","984,485",,,"407,611","340,632",,,"5,321,317","896,152",,,,,"915,314","1,115,681","642,564","713,624","293,095","35,806","710,224","947,760",,"2,042,718",,,"706,329",,,,,,,,"554,487","638,845",
"University of Massachusetts, Amherst",Massachusetts,Independent,2017,"3,804,920","890,289","53,443",,,,,,,"821,560",,"220,102","33,149",,,"82,151","30,608","101,310","32,104",,"2,170","120,758","25,777",,,,,,,"39,150",,,,"41,871",,"50,947","49,298",
"University of Massachusetts, Amherst",Massachusetts,Independent,2018,"3,132,656","744,516","95,038",,,,,,,"536,986",,"247,821","49,229",,,"55,810","16,197","71,784","33,904",,"1,648","38,769","10,318",,,,,,,"49,670",,,,"24,507",,"59,620","39,488",
"University of Massachusetts, Amherst",Massachusetts,Independent,2019,"3,608,769","698,975","45,260",,,,,,,"1,017,785",,"222,721","23,374",,,"98,989","42,487","58,836","37,095",,"5,792","113,835","41,735",,,,,,,"101,510",,,,"24,395",,"50,115","29,356",
"University of Massachusetts, Amherst",Massachusetts,Independent,2020,"4,596,837","593,495","39,715",,,,,,,"1,156,655",,"184,150","7,873",,,"53,255","12,997","36,181","26,522",,905,"70,114","41,327",,,,,,,"68,329",,,,"3,043",,"28,406","37,585",
"University of California, Los Angeles",UCLA,Pac-12,2017,"39,953,277","13,416,856","933,382",,,"353,904","487,930",,"1,330,262",,,,,,,"328,976","584,874",,"524,058","643,787","576,591","918,388","752,772","286,249","628,637","137,254","392,132",,,"796,136","193,276",,,,,"209,358","694,680",
"University of California, Los Angeles",UCLA,Pac-12,2018,"32,522,515","17,282,671","2,357,201",,,"229,083","244,615",,"1,094,309",,,,,,,"292,571","580,216",,"235,273","554,041","383,457","426,505","59,125","614,054","424,054","227,329","113,044",,,"1,042,883","140,153",,,,,"103,332","528,383",
"University of California, Los Angeles",UCLA,Pac-12,2019,"41,288,698","11,959,355","1,009,216",,,"229,332","286,246",,"1,305,227",,,,,,,"281,421","572,682",,"345,511","933,183","706,344","230,530","221,538","505,075","438,831","309,328","176,432",,,"1,188,767","407,732",,,,,"114,914","592,599",
"University of California, Los Angeles",UCLA,Pac-12,2020,"37,548,589","11,036,276","902,912",,,"167,299","168,865",,"991,693",,,,,,,"295,441","580,374",,"208,433","789,799","396,526","197,018","199,666","427,186","452,742","388,003","25,257",,,"774,916","221,156",,,,,"146,435","572,308",
Arizona State University,Arizona State,Pac-12,2017,"43,366,137","7,824,138","932,958",,,"272,826","286,121",,"217,991","3,394,463",,,"60,110",,,,"192,114","242,667","246,886","522,582","140,981","329,846","255,198",,,,,,,"1,322,258","127,636",,,,,,"588,549","276,308"
Arizona State University,Arizona State,Pac-12,2018,"50,129,246","8,747,454","1,015,150",,,"554,108","544,550",,"260,590","3,018,907",,,"214,640",,,,"197,936","188,940","188,964","570,423","159,799","311,615","321,465",,,,,,,"1,073,727","114,003",,,,,,"956,594","268,736"
Arizona State University,Arizona State,Pac-12,2019,"50,167,921","10,792,282","1,121,420",,,"1,637,504","1,449,704",,"276,117","3,380,117",,,"264,342",,,,"216,253","182,295","182,842","332,096","178,145","331,381","358,628",,,,,,,"3,361,839","118,893",,,,,,"1,008,720","269,476"
Arizona State University,Arizona State,Pac-12,2020,"54,244,347","9,921,130","855,447",,,"486,887","373,180",,"303,535","2,901,173",,,"204,458",,,,"149,233","128,310","124,134","182,988","126,038","232,699","237,272",,,,,,,"1,580,309","79,184",,,,,,"1,053,264","185,043"
University of Houston,Houston,AAC,2017,"12,078,619","998,284","41,419",,,"164,967","84,703",,,,,,,,,,"13,413",,"12,969",,"262,036","69,908","69,143",,"14,202",,,,,"979,306",,,,,,,"272,385",
University of Houston,Houston,AAC,2018,"6,304,916","497,167","25,290",,,"114,935","54,438",,,,,,,,,,"20,835",,"2,025",,575,"92,474","13,000",,"14,485",,,,,"688,528",,,,,,,"646,283",
University of Houston,Houston,AAC,2019,"4,976,383","1,532,525","79,511",,,"107,195","54,872",,,,,,,,,,"31,224",,"7,641",,"25,750","92,790","92,025",,"33,074",,,,,"1,391,812",,,,,,,"672,190",
University of Houston,Houston,AAC,2020,"4,163,393","1,606,904","79,244",,,"139,964","37,951",,,,,,,,,,"28,923",,"58,717",,"1,000","119,246","93,829",,"49,523",,,,,"427,256",,,,,,,"214,497",
Oregon State University,Oregon State,Pac-12,2008,"31,867,028","3,397,974","193,846",,,"88,531","16,874",,"232,053",,,,,,,"173,401","126,928",,"13,780",,,,"20,496",,"267,594",,,"320,990",,"1,202,023",,,,,,"18,104","216,192",
Oregon State University,Oregon State,Pac-12,2009,"30,874,060","4,285,443","217,732",,,"44,702","15,760",,"246,474",,,,,,,"11,078","116,051",,"19,968",,,,"4,150",,"248,939",,,"369,561",,"1,217,807",,,,,,"58,281","240,783",
Oregon State University,Oregon State,Pac-12,2010,"19,056,237","4,447,456","207,728",,,"42,633","15,105",,"307,269",,,,,,,"174,844","181,330",,"18,450",,,,"13,785",,"340,641",,,"261,912",,"1,214,022",,,,,,"17,854","209,911",
Oregon State University,Oregon State,Pac-12,2011,"21,690,794","4,499,464","817,264",,,"147,933","179,060",,"592,683",,,,,,,"368,796","333,115",,"166,521",,,,"170,152",,"727,569",,,"557,191",,"2,032,575",,,,,,"325,803","595,775",
Oregon State University,Oregon State,Pac-12,2013,"30,555,875","6,451,813","1,047,012",,,"223,235","194,180",,"685,109",,,,,,,"375,269","396,414",,"172,763",,,,"304,511",,"495,993",,,"599,330",,"1,903,152",,,,,,"668,383","282,297",
Oregon State University,Oregon State,Pac-12,2015,"30,996,475","5,385,405","727,571",,,"74,767","16,530",,"310,111",,,,,,,"122,645","87,211",,"22,766",,,,"44,662",,"334,106",,,"328,259",,"1,720,604",,,,,,"231,299","115,860",
Oregon State University,Oregon State,Pac-12,2016,"32,941,918","5,834,462","861,432",,,"105,358","25,638",,"435,740",,,,,,,"141,459","108,548",,"9,970",,,0,"60,155",,"317,767",,,"256,748",,"1,638,938",,,,,,"281,228","93,351",
Oregon State University,Oregon State,Pac-12,2017,"35,534,982","6,153,084","961,289",,,"112,480","13,786",,"611,200",,,,,,,"157,235","73,650",,"11,394",,,,"36,394",,"327,500",,,"214,296",,"2,289,909",,,,,,"38,172","62,853",
Oregon State University,Oregon State,Pac-12,2018,"34,646,701","6,937,473","1,106,347",,,"55,405","8,608",,"572,320",,,,,,,"116,293","67,578",,"10,247",,,,"29,762",,"330,601",,,"245,044",,"2,505,621",,,,,,"320,380","87,245",
